date,location,category,type,engagement,status
2024-06-01,Camp Humphreys,Holidays,Mil-Mil (US),Annual Holiday Event,2
2024-06-03,K16 Airbase,Military,Mil-Mil (ROK),Joint Training Exercise,1
2024-06-05,Camp Casey/Hovey,Civilian,Civ-Mil,Community Outreach,0
2024-06-07,Camp Stanley,Higher,Mil-Mil (US),High-Level Meeting,2
2024-06-10,Camp Humphreys,8A,Mil-Mil (ROK),8A Briefing,1
2024-06-12,K16 Airbase,Military,Mil-Mil (US),Training Review,0
2024-06-14,Camp Humphreys,8A,Mil-Mil (ROK),8A Strategic Planning,2
2024-06-16,Camp Casey/Hovey,Military,Mil-Mil (ROK),Field Exercise,1
2024-06-18,Camp Stanley,Civilian,Civ-Mil,Cultural Exchange,0
2024-06-20,Camp Humphreys,Holidays,Mil-Mil (US),Public Holiday,2
2024-06-22,K16 Airbase,Higher,Mil-Mil (US),Command Meeting,1
2024-06-24,Camp Casey/Hovey,Military,Mil-Mil (US),Tactical Training,0
2024-06-26,Camp Stanley,8A,Mil-Mil (ROK),8A Coordination,2
2024-06-28,Camp Humphreys,Civilian,Civ-Mil,Local Engagement,1
2024-06-30,K16 Airbase,Higher,Mil-Mil (ROK),Leadership Summit,0
2024-07-02,Camp Humphreys,Military,Mil-Mil (US),Military Parade,2
2024-07-04,Camp Casey/Hovey,8A,Mil-Mil (ROK),8A Field Exercise,1
2024-07-06,Camp Stanley,Civilian,Civ-Mil,Environmental Project,0
2024-07-08,Camp Humphreys,Military,Mil-Mil (US),Weapons Training,2
2024-07-10,K16 Airbase,Holidays,Mil-Mil (US),Independence Day,1
2024-07-12,Camp Casey/Hovey,Military,Mil-Mil (ROK),Joint Operation,0
2024-07-14,Camp Stanley,Higher,Mil-Mil (US),Senior Leadership Meeting,2
2024-07-16,Camp Humphreys,Civilian,Civ-Mil,Health Camp,1
2024-07-18,K16 Airbase,8A,Mil-Mil (ROK),8A Review,0
2024-07-20,Camp Casey/Hovey,Military,Mil-Mil (US),Combat Drill,2
2024-07-22,Camp Stanley,Holidays,Mil-Mil (US),Annual Festival,1
2024-07-24,Camp Humphreys,Civilian,Civ-Mil,Charity Event,0
2024-07-26,K16 Airbase,Higher,Mil-Mil (ROK),Strategy Session,2
2024-07-28,Camp Casey/Hovey,Military,Mil-Mil (US),Defense Exercise,1
2024-07-30,Camp Stanley,8A,Mil-Mil (ROK),8A Evaluation,0
